retailer,sku,name,production_system,price,price_unit,price_per_egg,quantity,source,url
Mercadona,30167,Huevos,caged,5.6,dz,0.23,24,API,https://tienda.mercadona.es/product/30167/huevos-tamanos-diferentes-paquete
Mercadona,31592,Huevos super grandes XL,caged,4.3,dc,0.36,12,API,https://tienda.mercadona.es/product/31592/huevos-super-grandes-xl-paquete
Mercadona,31504,Huevos grandes L,caged,3.2,dc,0.27,12,API,https://tienda.mercadona.es/product/31504/huevos-grandes-l-paquete
Mercadona,31540,Huevos grandes L,caged,1.8,dc,0.3,6,API,https://tienda.mercadona.es/product/31540/huevos-grandes-l-paquete
Mercadona,31505,Huevos medianos M,caged,3.0,dc,0.25,12,API,https://tienda.mercadona.es/product/31505/huevos-medianos-m-paquete
Mercadona,15768,Huevos de gallinas camperas,free_range,3.5,dc,0.29,12,API,https://tienda.mercadona.es/product/15768/huevos-gallinas-camperas-paquete
Mercadona,31310,Huevos de gallinas camperas,free_range,2.1,dc,0.35,6,API,https://tienda.mercadona.es/product/31310/huevos-gallinas-camperas-paquete
Mercadona,31010,Huevos cocidos,caged,2.2,dc,0.37,6,API,https://tienda.mercadona.es/product/31010/huevos-cocidos-paquete
Mercadona,31011,Huevos de codorniz,caged,1.85,dc,0.1,18,API,https://tienda.mercadona.es/product/31011/huevos-codorniz-paquete
DIA,274009,Huevos medianos M Dia 24 unidades,caged,5.75,docena,0.24,24,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274009
DIA,306230,Huevos grandes L de gallinas criadas en suelo Dia 12 unidades,barn,3.2,docena,0.27,12,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/306230
DIA,274010,Huevos medianos M de gallinas criadas en suelo Dia 12 unidades,barn,3.0,docena,0.25,12,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274010
DIA,274540,Huevos camperos medianos/grandes M/L Dia 10 unidades,free_range,3.19,docena,0.32,10,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274540
DIA,274541,Huevos ecológicos grandes/medianos M/L Dia 6 unidades,organic,2.95,docena,0.49,6,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274541
DIA,305802,Huevos extragrandes L/XL de gallinas criadas en suelo Dia 6 unidades,barn,2.2,docena,0.37,6,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/305802
DIA,307884,Huevos frescos categoría A clase L Dia 18 unidades,caged,4.69,docena,0.26,18,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/307884
DIA,274011,Huevos medianos/grandes M/L de gallinas criadas en el suelo Dia 12 unidades,barn,3.49,docena,0.29,12,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/274011
DIA,241893,Huevos camperos Pazo de Vilane caja 12 unidades,free_range,4.49,docena,0.37,12,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/241893
DIA,135425,Huevos medianos/grandes M/L maíz Grupo de lucas caja 12 unidades,caged,3.69,docena,0.31,12,SSR,https://www.dia.es/huevos-leche-y-mantequilla/huevos/p/135425
